order_nr,fpc_id,year,month,day,customer,uom,shipment
,81529520,2016,2,15,Spar Croatia,su,46.04
,81527658,2016,2,8,Drogerie Markt Croatia,su,46.04
,81527658,2016,2,15,Drogerie Markt Croatia,su,230.22
,81527658,2016,2,31,Drogerie Markt Croatia,su,92.09
,81527658,2016,2,1,Orbico Croatia,su,92.09
,81527658,2016,2,1,ROSSMANN POLAND [2000410801],su,2302.16
,81527658,2016,2,8,ROSSMANN POLAND [2000410801],su,3223.02
,81527658,2016,2,15,ROSSMANN POLAND [2000410801],su,1795.68
,81527658,2016,2,22,ROSSMANN POLAND [2000410801],su,1979.86
,81500508,2016,2,8,Drogerie Markt Hungary,su,38.27
,81500508,2016,2,15,Kaufland Czech Rep.,su,114.8
,81500508,2016,2,22,Kaufland Czech Rep.,su,1492.38
,81500508,2016,2,8,Kaufland Slovak Rep.,su,459.19
,81500508,2016,2,22,Kaufland Slovak Rep.,su,32.8
,81500413,2016,2,1,Drogerie Markt Hungary,su,76.53
,81500413,2016,2,8,Drogerie Markt Hungary,su,114.8
,81500413,2016,2,15,Drogerie Markt Hungary,su,38.27
,81500413,2016,2,1,Kaufland Slovak Rep.,su,21.87
,81500413,2016,2,8,Kaufland Slovak Rep.,su,32.8
,81500413,2016,2,15,Kaufland Slovak Rep.,su,38.27
,81499712,2016,2,22,Drogerie Markt Hungary,su,76.53
,81499712,2016,2,31,Drogerie Markt Hungary,su,306.13
,81499712,2016,2,22,Kaufland Czech Rep.,su,76.53
,81529515,2016,2,8,Auchan Hungary,su,60
,81529515,2016,2,1,Drogerie Markt Czech Rep.,su,210
,81529515,2016,2,1,Drogerie Markt Slovak Rep.,su,84
,81529515,2016,2,1,Esa Logistika s.r.o. Slovak Re,su,84
,81529515,2016,2,31,Esa Logistika s.r.o. Slovak Re,su,42
,81529515,2016,2,22,Kaufland Croatia,su,126
,81529515,2016,2,8,Krajcik Emil Slovak Rep.,su,42
,81529515,2016,2,22,Krajcik Emil Slovak Rep.,su,126
,81529515,2016,2,1,Makro Czech Rep.,su,176
,81529515,2016,2,8,Makro Czech Rep.,su,2
,81529515,2016,2,15,Makro Czech Rep.,su,120
,81529515,2016,2,22,Makro Czech Rep.,su,26
,81529515,2016,2,1,Metro Hungary,su,84
,81529515,2016,2,15,Metro Hungary,su,188
,81529515,2016,2,22,Metro Hungary,su,126
,81529515,2016,2,31,Metro Hungary,su,189
,81529515,2016,2,1,Metro Slovak Rep.,su,67
,81529515,2016,2,22,Metro Slovak Rep.,su,5
,81529515,2016,2,15,Muller Drogeria Hungary,su,42
,81529515,2016,2,1,Orbico Hungary,su,42
,81529515,2016,2,8,Orbico Hungary,su,42
,81529515,2016,2,1,Orbico Slovenia,su,42
,81529515,2016,2,8,Orbico Slovenia,su,18
,81529515,2016,2,22,Orbico Slovenia,su,42
,81529515,2016,2,1,PK Solvent Czech Rep.,su,210
,81529515,2016,2,8,PK Solvent Czech Rep.,su,168
,81529515,2016,2,15,PK Solvent Czech Rep.,su,42
,81529515,2016,2,22,PK Solvent Czech Rep.,su,420
,81529515,2016,2,1,PK Solvent Slovak Rep.,su,42
,81529515,2016,2,15,PK Solvent Slovak Rep.,su,84
,81529515,2016,2,22,PK Solvent Slovak Rep.,su,42
,81529515,2016,2,8,Rossmann Czech Rep.,su,84
,81529515,2016,2,15,Rossmann Czech Rep.,su,84
,81529515,2016,2,22,Rossmann Czech Rep.,su,42
,81529515,2016,2,31,Rossmann Czech Rep.,su,84
,81529515,2016,2,8,Rossmann Hungary,su,252
,81529515,2016,2,22,Rossmann Hungary,su,336
,81529515,2016,2,22,Spar Hungary,su,42
,81529515,2016,2,15,Tesco Czech Rep.,su,210
,81529515,2016,2,8,Tesco Hungary,su,210
,81529515,2016,2,15,Tesco Hungary,su,84
,81529515,2016,2,31,Tesco Hungary,su,42
,81529515,2016,2,1,Tesco Slovak Rep.,su,60
,81529515,2016,2,8,Tesco Slovak Rep.,su,79
,81529515,2016,2,15,Tesco Slovak Rep.,su,79
,81529515,2016,2,22,Tesco Slovak Rep.,su,42
,81529515,2016,2,31,Tesco Slovak Rep.,su,54
,81527652,2016,2,15,Ahold Czech Rep.,su,588
,81527652,2016,2,1,BALTIC LOGISTIC SOLUTIONS [2002785938],su,84
,81527652,2016,2,1,CARREFOUR POLAND [2000551514],su,252
,81527652,2016,2,8,CARREFOUR POLAND [2000551514],su,168
,81527652,2016,2,15,CARREFOUR POLAND [2000551514],su,378
,81527652,2016,2,22,CARREFOUR POLAND [2000551514],su,168
,81527652,2016,2,31,CARREFOUR POLAND [2000551514],su,210
,81527652,2016,2,8,Drogerie Markt Czech Rep.,su,168
,81527652,2016,2,15,Drogerie Markt Czech Rep.,su,84
,81527652,2016,2,22,Drogerie Markt Czech Rep.,su,168
,81527652,2016,2,22,Drogerie Markt Slovak Rep.,su,462
,81527652,2016,2,31,Drogerie Markt Slovak Rep.,su,42
,81527652,2016,2,22,Esa Logistika s.r.o. Slovak Re,su,42
,81527652,2016,2,1,KAUFLAND POLAND MARKETY [2000571507],su,1680
,81527652,2016,2,15,KAUFLAND POLAND MARKETY [2000571507],su,168
,81527652,2016,2,22,KAUFLAND POLAND MARKETY [2000571507],su,672
,81527652,2016,2,1,LE CLERC POLAND [2000519165],su,42
,81527652,2016,2,8,LE CLERC POLAND [2000519165],su,420
