fpc,description,it_ean,sw_ean,cs_ean,pt_ean,cpg,category,brand,optima_lineup,family3,phase_in_date,phase_out_date,predecessor,successor
81555179,PA NBD M6 S2 1x144 MBM CEE {CS} [81555179] (4015400737179),4015400737179,0,0,0,r,DPR,BSOD,BSOD Minibox,BSOD Minibox,2018.01.01,2019.12.31,,
81555181,PA ABD M6 S3 1x126 MBM CEE {CS} [81555181] (4015400737216),4015400737216,0,0,0,r,DPR,BSOD,BSOD Minibox,BSOD Minibox,2018.01.01,2019.12.31,,
81555185,PA ABD M6 S4 1x106 MBM CEE {CS} [81555185] (4015400737254),4015400737254,0,0,0,r,DPR,BSOD,BSOD Minibox,BSOD Minibox,2018.01.01,2019.12.31,,
81555187,PA ABD M6 S4P 1x96 MBM CEE {CS} [81555187] (4015400737292),4015400737292,0,0,0,r,DPR,BSOD,BSOD Minibox,BSOD Minibox,2018.01.01,2019.12.31,,
81555190,PA ABD M6 S5 1x87 MBM CEE {CS} [81555190] (4015400987154),4015400987154,0,0,0,r,DPR,BSOD,BSOD Minibox,BSOD Minibox,2018.01.01,2019.12.31,,
81555270,PA ABD M6 S3 1x126 MBM CEE GYO {CS} [81555270] (4015400737216),4015400737216,0,0,0,r,DPR,BSOD,BSOD Minibox,BSOD Minibox,2018.01.01,2019.12.31,,
81555278,PA ABD M6 S4 1x106 MBM CEE GYO {CS} [81555278] (4015400737254),4015400737254,0,0,0,r,DPR,BSOD,BSOD Minibox,BSOD Minibox,2018.01.01,2019.12.31,,
81555283,PA ABD M6 S4P 1x96 MBM CEE GYO {CS} [81555283] (4015400737292),4015400737292,0,0,0,r,DPR,BSOD,BSOD Minibox,BSOD Minibox,2018.01.01,2019.12.31,,
81555289,PA ABD M6 S5 1x87 MBM CEE GYO {CS} [81555289] (4015400987154),4015400987154,0,0,0,r,DPR,BSOD,BSOD Minibox,BSOD Minibox,2018.01.01,2019.12.31,,
81528080,PA ABD M5P S3 1x174 MBPlus CEE {CS} [81528080] (4015400737537),4015400737537,0,0,0,r,DPR,BSOD,BSOD MegaBox Plus,BSOD MegaBox Plus,2018.01.01,2019.12.31,,
81528081,PA ABD M5P S4 1x147 MBPlus CEE {CS} [81528081] (4015400737575),4015400737575,0,0,0,r,DPR,BSOD,BSOD MegaBox Plus,BSOD MegaBox Plus,2018.01.01,2019.12.31,,
81528082,PA ABD M5P S5 1x126 MBPlus CEE {CS} [81528082] (4015400737612),4015400737612,0,0,0,r,DPR,BSOD,BSOD MegaBox Plus,BSOD MegaBox Plus,2018.01.01,2019.12.31,,
81530090,PA ABD M5P S3 1x174 MBPlus CEE GYO {CS} [81530090] (4015400737537),4015400737537,0,0,0,r,DPR,BSOD,BSOD MegaBox Plus,BSOD MegaBox Plus,2018.01.01,2019.12.31,,
81530091,PA ABD M5P S4 1x147 MBPlus CEE GYO {CS} [81530091] (4015400737575),4015400737575,0,0,0,r,DPR,BSOD,BSOD MegaBox Plus,BSOD MegaBox Plus,2018.01.01,2019.12.31,,
81530092,PA ABD M5P S5 1x126 MBPlus CEE GYO {CS} [81530092] (4015400737612),4015400737612,0,0,0,r,DPR,BSOD,BSOD MegaBox Plus,BSOD MegaBox Plus,2018.01.01,2019.12.31,,
81555301,PA ABD M6 S3 1x174 MBPlus CEE {CS} [81555301] (4015400737537),4015400737537,0,0,0,r,DPR,BSOD,BSOD MegaBox Plus,BSOD MegaBox Plus,2018.01.01,2019.12.31,,
81555302,PA ABD M6 S4 1x147 MBPlus CEE {CS} [81555302] (4015400737575),4015400737575,0,0,0,r,DPR,BSOD,BSOD MegaBox Plus,BSOD MegaBox Plus,2018.01.01,2019.12.31,,
81555303,PA ABD M6 S5 1x126 MBPlus CEE {CS} [81555303] (4015400737612),4015400737612,0,0,0,r,DPR,BSOD,BSOD MegaBox Plus,BSOD MegaBox Plus,2018.01.01,2019.12.31,,
81555311,PA ABD M6 S3 1x174 MBPlus CEE GYO {CS} [81555311] (4015400737537),4015400737537,0,0,0,r,DPR,BSOD,BSOD MegaBox Plus,BSOD MegaBox Plus,2018.01.01,2019.12.31,,
81555312,PA ABD M6 S4 1x147 MBPlus CEE GYO {CS} [81555312] (4015400737575),4015400737575,0,0,0,r,DPR,BSOD,BSOD MegaBox Plus,BSOD MegaBox Plus,2018.01.01,2019.12.31,,
81555313,PA ABD M6 S5 1x126 MBPlus CEE GYO {CS} [81555313] (4015400737612),4015400737612,0,0,0,r,DPR,BSOD,BSOD MegaBox Plus,BSOD MegaBox Plus,2018.01.01,2019.12.31,,
81603987,PA ABD M6 S3 1x208 MSB CEE {CS} [81603987] (8001090172501),8001090172501,0,0,0,r,DPR,BSOD,BSOD Monthly Saving Box,BSOD Monthly Saving Box,2018.01.01,2019.12.31,,
81603989,PA ABD M6 S4 1x174 MSB CEE {CS} [81603989] (8001090172549),8001090172549,0,0,0,r,DPR,BSOD,BSOD Monthly Saving Box,BSOD Monthly Saving Box,2018.01.01,2019.12.31,,
81603991,PA ABD M6 S5 1x150 MSB CEE {CS} [81603991] (8001090172587),8001090172587,0,0,0,r,DPR,BSOD,BSOD Monthly Saving Box,BSOD Monthly Saving Box,2018.01.01,2019.12.31,,
81534866,PA NBD M5P S2 3x76 VPP CEN {CS} [81534866] (4015400743835),4015400743835,0,0,0,r,DPR,BSOD,BSOD Value Pack Plus,BSOD Value Pack Plus,2018.01.01,2019.12.31,,
81534867,PA NBD M5P S2 3x76 VPP CES {CS} [81534867] (4015400743835),4015400743835,0,0,0,r,DPR,BSOD,BSOD Value Pack Plus,BSOD Value Pack Plus,2018.01.01,2019.12.31,,
81544058,PA SRP NBD M5P S2 4x2x66 VPM PL {CS} [81544058] (4015400700548),4015400700548,0,0,0,r,DPR,BSOD,BSOD Value Pack Minus SRP,BSOD Value Pack Minus SRP,2018.01.01,2019.12.31,,
81544073,PA SRP ABD M5P S3 4x2x54 VPM PL {CS} [81544073] (4015400700579),4015400700579,0,0,0,r,DPR,BSOD,BSOD Value Pack Minus SRP,BSOD Value Pack Minus SRP,2018.01.01,2019.12.31,,
81544075,PA SRP ABD M5P S4 4x3x46 VPM PL {CS} [81544075] (4015400700609),4015400700609,0,0,0,r,DPR,BSOD,BSOD Value Pack Minus SRP,BSOD Value Pack Minus SRP,2018.01.01,2019.12.31,,
81544076,PA SRP ABD M5P S5 4x3x36 VPM PL {CS} [81544076] (4015400700630),4015400700630,0,0,0,r,DPR,BSOD,BSOD Value Pack Minus SRP,BSOD Value Pack Minus SRP,2018.01.01,2019.12.31,,
81549545,PA SRP NBD M5P S2 8X(4x43) CP HR/HU/PL {CS} [81549545] (4015400760610),4015400760610,0,0,0,r,DPR,BSOD,BSOD Carry Pack SRP,BSOD Carry Pack SRP,2018.01.01,2019.12.31,,
81549546,PA SRP ABD M5P S3 8X(4x42) CP HR/HU/PL {CS} [81549546] (4015400760641),4015400760641,0,0,0,r,DPR,BSOD,BSOD Carry Pack SRP,BSOD Carry Pack SRP,2018.01.01,2019.12.31,,
81549547,PA SRP ABD M5P S4 8X(4x36) CP HU/HR/PL {CS} [81549547] (4015400760672),4015400760672,0,0,0,r,DPR,BSOD,BSOD Carry Pack SRP,BSOD Carry Pack SRP,2018.01.01,2019.12.31,,
81549548,PA SRP ABD M5P 4XS4P+4XS5 CP HU/HR/PL {CS} [81549548] (4015400760702),4015400760702,0,0,0,r,DPR,BSOD,BSOD Carry Pack SRP,BSOD Carry Pack SRP,2018.01.01,2019.12.31,,
